page,chart_id,chart_title,stream,stream_label,model,model_short,metric_name,metric_value,metric_display,source_column,source_file,calculation_basis,notes,horizon,stress_bucket,scenario,scenario_role,component_model,component_short,component_rank,weight,weight_pct,lag,acf_value,diagnostic_test,pass_status,quarterly_mape,annual_mape,fitted,residual_pct,abs_error_pct,horizon_bucket,point_type,x_metric,y_metric,value_available,paired_common_pairs,paired_model_mape,paired_schiff_mape,paired_gain_pp,paired_win_rate_pct,recommendation
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Stress-window MAPE,2.8020650858062384,2.80%,stress_1_4_qtrs_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,1-4 qtrs,,,,,,,,,,,,,,,,,,,,,True,,,,,,
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Stress-window MAPE,3.543246019172668,3.54%,stress_5_8_qtrs_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,5-8 qtrs,,,,,,,,,,,,,,,,,,,,,True,,,,,,
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Stress-window MAPE,4.268496392837583,4.27%,stress_9_12_qtrs_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,9-12 qtrs,,,,,,,,,,,,,,,,,,,,,True,,,,,,
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Stress-window MAPE,,-,,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,2024+,,,,,,,,,,,,,,,,,,,,,False,,,,,,
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Stress-window MAPE,,-,,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,2022-23,,,,,,,,,,,,,,,,,,,,,False,,,,,,
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__RECON_STATIC_REBUILT,Recon Static Rebuilt,Stress-window MAPE,3.0199801790589795,3.02%,stress_annual_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,Annual,,,,,,,,,,,,,,,,,,,,,True,,,,,,
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,LIGHT_RUC,Light RUC volume,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,Light Rescue Static Bias Penalty Top25 Cap0p4,Stress-window MAPE,7.7358187603533874,7.74%,stress_1_4_qtrs_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,1-4 qtrs,,,,,,,,,,,,,,,,,,,,,True,,,,,,
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,LIGHT_RUC,Light RUC volume,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,Light Rescue Static Bias Penalty Top25 Cap0p4,Stress-window MAPE,9.486599810802034,9.49%,stress_5_8_qtrs_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,5-8 qtrs,,,,,,,,,,,,,,,,,,,,,True,,,,,,
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,LIGHT_RUC,Light RUC volume,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,Light Rescue Static Bias Penalty Top25 Cap0p4,Stress-window MAPE,10.525989642599182,10.53%,stress_9_12_qtrs_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,9-12 qtrs,,,,,,,,,,,,,,,,,,,,,True,,,,,,
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,LIGHT_RUC,Light RUC volume,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,Light Rescue Static Bias Penalty Top25 Cap0p4,Stress-window MAPE,6.253350126815422,6.25%,stress_2024plus_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,2024+,,,,,,,,,,,,,,,,,,,,,True,,,,,,
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,LIGHT_RUC,Light RUC volume,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,Light Rescue Static Bias Penalty Top25 Cap0p4,Stress-window MAPE,18.785206368204136,18.79%,stress_2022_23_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,2022-23,,,,,,,,,,,,,,,,,,,,,True,,,,,,
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,LIGHT_RUC,Light RUC volume,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,Light Rescue Static Bias Penalty Top25 Cap0p4,Stress-window MAPE,5.999498868354415,6.00%,stress_annual_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,Annual,,,,,,,,,,,,,,,,,,,,,True,,,,,,
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,PED,PED VKT per capita,PED__RESCUE_static_annual_weighted_top12_capnone,PED Rescue Static Annual Weighted Top12 Capnone,Stress-window MAPE,1.555152207045429,1.56%,stress_1_4_qtrs_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,1-4 qtrs,,,,,,,,,,,,,,,,,,,,,True,,,,,,
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,PED,PED VKT per capita,PED__RESCUE_static_annual_weighted_top12_capnone,PED Rescue Static Annual Weighted Top12 Capnone,Stress-window MAPE,2.504012939508072,2.50%,stress_5_8_qtrs_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,5-8 qtrs,,,,,,,,,,,,,,,,,,,,,True,,,,,,
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,PED,PED VKT per capita,PED__RESCUE_static_annual_weighted_top12_capnone,PED Rescue Static Annual Weighted Top12 Capnone,Stress-window MAPE,3.515873238991126,3.52%,stress_9_12_qtrs_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,9-12 qtrs,,,,,,,,,,,,,,,,,,,,,True,,,,,,
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,PED,PED VKT per capita,PED__RESCUE_static_annual_weighted_top12_capnone,PED Rescue Static Annual Weighted Top12 Capnone,Stress-window MAPE,0.9623656999078108,0.96%,stress_2024plus_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,2024+,,,,,,,,,,,,,,,,,,,,,True,,,,,,
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,PED,PED VKT per capita,PED__RESCUE_static_annual_weighted_top12_capnone,PED Rescue Static Annual Weighted Top12 Capnone,Stress-window MAPE,2.1707759693986213,2.17%,stress_2022_23_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,2022-23,,,,,,,,,,,,,,,,,,,,,True,,,,,,
Overview,overview_stress_horizon_checks,4. Stress and Horizon Checks,PED,PED VKT per capita,PED__RESCUE_static_annual_weighted_top12_capnone,PED Rescue Static Annual Weighted Top12 Capnone,Stress-window MAPE,2.3856249442030424,2.39%,stress_annual_mape,C:\Users\Adrian Desilvestro\OneDrive\Documents\Playground\Revenue Modeling - Strategic Review\04 Models\information pack\stage1_curated_candidate_cone.parquet,First non-null stress or horizon alias by bucket; missing values remain gaps with connectgaps=False.,,,Annual,,,,,,,,,,,,,,,,,,,,,True,,,,,,
