family,selection,display_name,stream,value,unit,start_fy,end_fy,formula,default_selected,custom_allowed,source_cells,source_workbook_sha256,cost_per_km_ratio_status,notes
fleet_efficiency,Off,Off,PED,0.0,fraction p.a.,2026,2050,no overlay,True,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Post-model overlays; default Off preserves model forecast. Scenario workbook price variables are already captured by finalist forecasts where supplied.
fleet_efficiency,Low,Low 0.5% p.a.,PED,0.005,fraction p.a.,2026,2050,base_litres_per_100km*(1-eff_gain)^(FY-start_fy+1),False,True,C181,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Post-model overlays; default Off preserves model forecast. Scenario workbook price variables are already captured by finalist forecasts where supplied.
fleet_efficiency,Med,Med 1.0% p.a.,PED,0.01,fraction p.a.,2026,2050,base_litres_per_100km*(1-eff_gain)^(FY-start_fy+1),False,True,D181,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Post-model overlays; default Off preserves model forecast. Scenario workbook price variables are already captured by finalist forecasts where supplied.
fleet_efficiency,High,High 1.5% p.a.,PED,0.015,fraction p.a.,2026,2050,base_litres_per_100km*(1-eff_gain)^(FY-start_fy+1),False,True,E181,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Post-model overlays; default Off preserves model forecast. Scenario workbook price variables are already captured by finalist forecasts where supplied.
fleet_efficiency,Custom,Custom,PED,0.0,fraction p.a.,2026,2050,base_litres_per_100km*(1-custom_eff_gain)^(FY-start_fy+1),False,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Custom value is session-only and is not a new model coefficient.
pt_mode_shift,Off,Off,PED_LIGHT_PETROL,0.0,fraction p.a.,2030,2050,no overlay,True,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Post-model overlays; default Off preserves model forecast. Scenario workbook price variables are already captured by finalist forecasts where supplied.
pt_mode_shift,Low,Low 0.25% p.a.,PED_LIGHT_PETROL,0.0025,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,C206,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
pt_mode_shift,Med,Med 0.5% p.a.,PED_LIGHT_PETROL,0.005,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,D206,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
pt_mode_shift,High,High 1.0% p.a.,PED_LIGHT_PETROL,0.01,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,E206,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
pt_mode_shift,Custom,Custom,PED_LIGHT_PETROL,0.0,fraction p.a.,2030,2050,(1-custom_pt_shift_pct)^(FY-start_fy+1),False,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Custom value is session-only and is not a new model coefficient.
pt_mode_shift,Off,Off,LIGHT_RUC,0.0,fraction p.a.,2030,2050,no overlay,True,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Post-model overlays; default Off preserves model forecast. Scenario workbook price variables are already captured by finalist forecasts where supplied.
pt_mode_shift,Low,Low 0.25% p.a.,LIGHT_RUC,0.0025,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,C213,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
pt_mode_shift,Med,Med 0.5% p.a.,LIGHT_RUC,0.005,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,D213,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
pt_mode_shift,High,High 1.0% p.a.,LIGHT_RUC,0.01,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,E213,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
pt_mode_shift,Custom,Custom,LIGHT_RUC,0.0,fraction p.a.,2030,2050,(1-custom_pt_shift_pct)^(FY-start_fy+1),False,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Custom value is session-only and is not a new model coefficient.
pt_mode_shift,Off,Off,LIGHT_BEV,0.0,fraction p.a.,2030,2050,no overlay,True,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Post-model overlays; default Off preserves model forecast. Scenario workbook price variables are already captured by finalist forecasts where supplied.
pt_mode_shift,Low,Low 0.25% p.a.,LIGHT_BEV,0.0025,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,C213,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
pt_mode_shift,Med,Med 0.5% p.a.,LIGHT_BEV,0.005,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,D213,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
pt_mode_shift,High,High 1.0% p.a.,LIGHT_BEV,0.01,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,E213,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
pt_mode_shift,Custom,Custom,LIGHT_BEV,0.0,fraction p.a.,2030,2050,(1-custom_pt_shift_pct)^(FY-start_fy+1),False,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Custom value is session-only and is not a new model coefficient.
pt_mode_shift,Off,Off,PHEV,0.0,fraction p.a.,2030,2050,no overlay,True,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Post-model overlays; default Off preserves model forecast. Scenario workbook price variables are already captured by finalist forecasts where supplied.
pt_mode_shift,Low,Low 0.25% p.a.,PHEV,0.0025,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,C213,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
pt_mode_shift,Med,Med 0.5% p.a.,PHEV,0.005,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,D213,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
pt_mode_shift,High,High 1.0% p.a.,PHEV,0.01,fraction p.a.,2030,2050,(1-pt_shift_pct)^(FY-start_fy+1),False,True,E213,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Applied equally across light vehicle components so EV/PHEV shares are unchanged.
pt_mode_shift,Custom,Custom,PHEV,0.0,fraction p.a.,2030,2050,(1-custom_pt_shift_pct)^(FY-start_fy+1),False,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Custom value is session-only and is not a new model coefficient.
demand_elasticity,Off,Off,PED,0.0,elasticity,2026,2050,no overlay,True,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Post-model overlays; default Off preserves model forecast. Scenario workbook price variables are already captured by finalist forecasts where supplied.
demand_elasticity,Low,Low -0.1,PED,-0.1,elasticity,2026,2050,demand_factor=(cost_per_km_ratio)^elasticity,False,True,C266,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,custom_required,Requires a governed or custom cost/km ratio; no oil/crude pass-through is constructed here.
demand_elasticity,Med,Med -0.144117,PED,-0.144116582,elasticity,2026,2050,demand_factor=(cost_per_km_ratio)^elasticity,False,True,D266,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,custom_required,Requires a governed or custom cost/km ratio; no oil/crude pass-through is constructed here.
demand_elasticity,High,High -0.24,PED,-0.24,elasticity,2026,2050,demand_factor=(cost_per_km_ratio)^elasticity,False,True,E266,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,custom_required,Requires a governed or custom cost/km ratio; no oil/crude pass-through is constructed here.
demand_elasticity,Custom,Custom,PED,0.0,elasticity,2026,2050,demand_factor=(cost_per_km_ratio)^custom_elasticity,False,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,custom_required,Custom elasticity and ratio are session-only; no oil/crude pass-through is constructed here.
demand_elasticity,Off,Off,LIGHT_RUC,0.0,elasticity,2026,2050,no overlay,True,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Post-model overlays; default Off preserves model forecast. Scenario workbook price variables are already captured by finalist forecasts where supplied.
demand_elasticity,Low,Low -0.08,LIGHT_RUC,-0.08,elasticity,2026,2050,demand_factor=(cost_per_km_ratio)^elasticity,False,True,C267,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,custom_required,Requires a governed or custom cost/km ratio; no oil/crude pass-through is constructed here.
demand_elasticity,Med,Med -0.12,LIGHT_RUC,-0.12,elasticity,2026,2050,demand_factor=(cost_per_km_ratio)^elasticity,False,True,D267,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,custom_required,Requires a governed or custom cost/km ratio; no oil/crude pass-through is constructed here.
demand_elasticity,High,High -0.2,LIGHT_RUC,-0.2,elasticity,2026,2050,demand_factor=(cost_per_km_ratio)^elasticity,False,True,E267,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,custom_required,Requires a governed or custom cost/km ratio; no oil/crude pass-through is constructed here.
demand_elasticity,Custom,Custom,LIGHT_RUC,0.0,elasticity,2026,2050,demand_factor=(cost_per_km_ratio)^custom_elasticity,False,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,custom_required,Custom elasticity and ratio are session-only; no oil/crude pass-through is constructed here.
demand_elasticity,Off,Off,HEAVY_RUC,0.0,elasticity,2026,2050,no overlay,True,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,not_applicable,Post-model overlays; default Off preserves model forecast. Scenario workbook price variables are already captured by finalist forecasts where supplied.
demand_elasticity,Low,Low -0.05,HEAVY_RUC,-0.05,elasticity,2026,2050,demand_factor=(cost_per_km_ratio)^elasticity,False,True,C268,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,custom_required,Requires a governed or custom cost/km ratio; no oil/crude pass-through is constructed here.
demand_elasticity,Med,Med -0.1,HEAVY_RUC,-0.1,elasticity,2026,2050,demand_factor=(cost_per_km_ratio)^elasticity,False,True,D268,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,custom_required,Requires a governed or custom cost/km ratio; no oil/crude pass-through is constructed here.
demand_elasticity,High,High -0.2,HEAVY_RUC,-0.2,elasticity,2026,2050,demand_factor=(cost_per_km_ratio)^elasticity,False,True,E268,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,custom_required,Requires a governed or custom cost/km ratio; no oil/crude pass-through is constructed here.
demand_elasticity,Custom,Custom,HEAVY_RUC,0.0,elasticity,2026,2050,demand_factor=(cost_per_km_ratio)^custom_elasticity,False,True,,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,custom_required,Custom elasticity and ratio are session-only; no oil/crude pass-through is constructed here.
