workbook_basename,workbook_sha256,sheet,row,cell,label,family,stream,scenario_level,value,unit,note,source_status
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),181,C181,Annual efficiency improvement (Low/Med/High),fleet_efficiency,PED,Low,0.005,fraction p.a.,Applied as a post-model litres-intensity overlay after EV/PHEV migration and light-activity overlays.,repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),181,D181,Annual efficiency improvement (Low/Med/High),fleet_efficiency,PED,Med,0.01,fraction p.a.,Applied as a post-model litres-intensity overlay after EV/PHEV migration and light-activity overlays.,repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),181,E181,Annual efficiency improvement (Low/Med/High),fleet_efficiency,PED,High,0.015,fraction p.a.,Applied as a post-model litres-intensity overlay after EV/PHEV migration and light-activity overlays.,repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),206,C206,Annual shift % to public transport | Petrol (Low/Med/High),pt_mode_shift,PED_LIGHT_PETROL,Low,0.0025,fraction p.a.,Applied to adjusted PED/light-petrol VKT from FY2030.,repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),206,D206,Annual shift % to public transport | Petrol (Low/Med/High),pt_mode_shift,PED_LIGHT_PETROL,Med,0.005,fraction p.a.,Applied to adjusted PED/light-petrol VKT from FY2030.,repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),206,E206,Annual shift % to public transport | Petrol (Low/Med/High),pt_mode_shift,PED_LIGHT_PETROL,High,0.01,fraction p.a.,Applied to adjusted PED/light-petrol VKT from FY2030.,repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),213,C213,Annual shift % to public transport | LRUC (Low/Med/High),pt_mode_shift,LIGHT_RUC,Low,0.0025,fraction p.a.,"Applied equally to conventional Light RUC, Light BEV and PHEV so EV/PHEV shares do not change.",repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),213,C213,Annual shift % to public transport | LRUC (Low/Med/High),pt_mode_shift,LIGHT_BEV,Low,0.0025,fraction p.a.,"Applied equally to conventional Light RUC, Light BEV and PHEV so EV/PHEV shares do not change.",repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),213,C213,Annual shift % to public transport | LRUC (Low/Med/High),pt_mode_shift,PHEV,Low,0.0025,fraction p.a.,"Applied equally to conventional Light RUC, Light BEV and PHEV so EV/PHEV shares do not change.",repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),213,D213,Annual shift % to public transport | LRUC (Low/Med/High),pt_mode_shift,LIGHT_RUC,Med,0.005,fraction p.a.,"Applied equally to conventional Light RUC, Light BEV and PHEV so EV/PHEV shares do not change.",repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),213,D213,Annual shift % to public transport | LRUC (Low/Med/High),pt_mode_shift,LIGHT_BEV,Med,0.005,fraction p.a.,"Applied equally to conventional Light RUC, Light BEV and PHEV so EV/PHEV shares do not change.",repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),213,D213,Annual shift % to public transport | LRUC (Low/Med/High),pt_mode_shift,PHEV,Med,0.005,fraction p.a.,"Applied equally to conventional Light RUC, Light BEV and PHEV so EV/PHEV shares do not change.",repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),213,E213,Annual shift % to public transport | LRUC (Low/Med/High),pt_mode_shift,LIGHT_RUC,High,0.01,fraction p.a.,"Applied equally to conventional Light RUC, Light BEV and PHEV so EV/PHEV shares do not change.",repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),213,E213,Annual shift % to public transport | LRUC (Low/Med/High),pt_mode_shift,LIGHT_BEV,High,0.01,fraction p.a.,"Applied equally to conventional Light RUC, Light BEV and PHEV so EV/PHEV shares do not change.",repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),213,E213,Annual shift % to public transport | LRUC (Low/Med/High),pt_mode_shift,PHEV,High,0.01,fraction p.a.,"Applied equally to conventional Light RUC, Light BEV and PHEV so EV/PHEV shares do not change.",repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),266,C266,Petrol light vehicles | VKT elasticity to retail fuel price,demand_elasticity,PED,Low,-0.1,elasticity,Post-model demand overlay only; no oil/crude or pump-price pass-through is built in this runtime pack.,repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),266,D266,Petrol light vehicles | VKT elasticity to retail fuel price,demand_elasticity,PED,Med,-0.144116582,elasticity,Post-model demand overlay only; no oil/crude or pump-price pass-through is built in this runtime pack.,repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),266,E266,Petrol light vehicles | VKT elasticity to retail fuel price,demand_elasticity,PED,High,-0.24,elasticity,Post-model demand overlay only; no oil/crude or pump-price pass-through is built in this runtime pack.,repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),267,C267,Light RUC vehicles | km elasticity to retail diesel price,demand_elasticity,LIGHT_RUC,Low,-0.08,elasticity,Post-model demand overlay only; no oil/crude or pump-price pass-through is built in this runtime pack.,repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),267,D267,Light RUC vehicles | km elasticity to retail diesel price,demand_elasticity,LIGHT_RUC,Med,-0.12,elasticity,Post-model demand overlay only; no oil/crude or pump-price pass-through is built in this runtime pack.,repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),267,E267,Light RUC vehicles | km elasticity to retail diesel price,demand_elasticity,LIGHT_RUC,High,-0.2,elasticity,Post-model demand overlay only; no oil/crude or pump-price pass-through is built in this runtime pack.,repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),268,C268,Heavy RUC vehicles | km elasticity to retail diesel price,demand_elasticity,HEAVY_RUC,Low,-0.05,elasticity,Post-model demand overlay only; no oil/crude or pump-price pass-through is built in this runtime pack.,repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),268,D268,Heavy RUC vehicles | km elasticity to retail diesel price,demand_elasticity,HEAVY_RUC,Med,-0.1,elasticity,Post-model demand overlay only; no oil/crude or pump-price pass-through is built in this runtime pack.,repo_vendored_seed_from_inputs_ti
Revenue Model2.1 with fuel calcs.xlsx,54ed1cfee4fa533b655575ff41f59ba656f6c53350d52b9b02482bab1d16a3a7,Inputs (TI),268,E268,Heavy RUC vehicles | km elasticity to retail diesel price,demand_elasticity,HEAVY_RUC,High,-0.2,elasticity,Post-model demand overlay only; no oil/crude or pump-price pass-through is built in this runtime pack.,repo_vendored_seed_from_inputs_ti
