stream,stream_label,scenario,model,model_short,score_basis,eval_grid,stress_bucket,stress_order,source_dataset,calculation_basis,mape,bias_pct,n,value_available
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,current_grid_operational_pooled,current_evidence_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,2.802065085806238,-0.28204259024343165,162,True
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,current_grid_operational_pooled,current_evidence_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,3.5432460191726682,-0.3856661029026799,146,True
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,current_grid_operational_pooled,current_evidence_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,4.268496392837581,0.4619035918542273,130,True
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,current_grid_operational_pooled,current_evidence_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,2.118208688923796,-0.30508632203079733,96,True
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,current_grid_operational_pooled,current_evidence_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,2.793099225869046,1.0776865478141413,96,True
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,current_grid_operational_pooled,current_evidence_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,2.7845962414849983,-0.2668643775276722,82,True
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,schiff_paper_horizon_mean,schiff_paper_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,2.275400163632944,-0.9456646036328382,58,True
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,schiff_paper_horizon_mean,schiff_paper_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,2.4990371802101343,-1.2445759104624168,42,True
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,schiff_paper_horizon_mean,schiff_paper_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,3.4810576151323853,0.5952754746013453,26,True
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,schiff_paper_horizon_mean,schiff_paper_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,,,0,False
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,schiff_paper_horizon_mean,schiff_paper_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,2.478692406417694,0.809778210590812,48,True
HEAVY_RUC,Heavy RUC volume,Finalist,HEAVY_RUC__RECON_STATIC_REBUILT,HEAVY RUC  RECON STATIC REBUILT,schiff_paper_horizon_mean,schiff_paper_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,2.061102375292297,-1.0290864443226877,24,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,5.268356005383845,4.8381635157805905,158,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,8.683921033071352,8.602294994367057,142,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,9.97909923809252,9.820068395386652,126,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,8.817871452488827,8.817871452488827,84,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,18.82460930632507,18.57737194873269,96,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,8.112774746198832,8.02234735697522,73,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,6.138784877553355,5.624606016740007,58,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,10.082022452472184,9.935040929147766,42,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,9.95431976757298,9.183631837536856,26,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,,,0,False
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,18.45339925315454,17.958924537969775,48,True
HEAVY_RUC,Heavy RUC volume,Schiff,HEAVY_RUC__SCHIFF_SPEC_FROM_WORKBOOK,HEAVY RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,8.8795079281538,8.732776361505834,24,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,current_grid_operational_pooled,current_evidence_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,6.354804829519619,1.4552634650903529,162,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,current_grid_operational_pooled,current_evidence_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,8.027343886845445,2.1480291281185444,146,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,current_grid_operational_pooled,current_evidence_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,9.156772017459321,2.1180836520514745,130,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,current_grid_operational_pooled,current_evidence_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,5.06409055548075,2.7507270633523753,96,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,current_grid_operational_pooled,current_evidence_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,15.14617349927156,2.7994944865723723,96,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,current_grid_operational_pooled,current_evidence_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,4.724765045692077,1.1884551102780188,82,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,4.853169377875247,-0.20187213514158653,58,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,4.889726270686038,0.49369077484584084,42,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,8.191309732606763,2.670033358667012,26,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,,,0,False
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,9.478585786202233,3.8425469024336576,48,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,2.7538068712281003,-0.25378767366632354,24,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,7.729402332793472,3.0711324838003233,158,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,9.965417361175616,3.6406836863438463,142,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,11.287607785968166,5.547839961959173,126,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,6.772561577563633,5.444639379356919,96,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,21.39148237309513,9.772576129238495,96,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,5.54747771728017,2.775659998971873,80,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,6.24794359771713,-0.444709184781792,58,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,7.36432071039263,-0.3253203442002717,42,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,11.61282387602385,3.5729190889053846,26,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,,,0,False
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,15.166269199628713,3.3064835343335113,48,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,2.7020003217931463,-1.2512124526158817,24,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,current_grid_operational_pooled,current_evidence_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,1.5551522070454291,0.6431008562265719,218,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,current_grid_operational_pooled,current_evidence_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,2.504012939508072,1.543695831981802,202,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,current_grid_operational_pooled,current_evidence_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,3.5158732389911265,2.5067703964868144,186,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,current_grid_operational_pooled,current_evidence_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,0.9623656999078108,-0.15778800895694572,96,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,current_grid_operational_pooled,current_evidence_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,2.1707759693986213,0.8618476712465101,96,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,current_grid_operational_pooled,current_evidence_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,2.239648058288008,1.5527167323073563,114,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,schiff_paper_horizon_mean,schiff_paper_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,1.7389128528409126,0.8006971575987607,58,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,schiff_paper_horizon_mean,schiff_paper_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,2.263643305733216,1.7496875947360846,42,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,schiff_paper_horizon_mean,schiff_paper_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,5.353111205408429,4.949046770128151,26,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,schiff_paper_horizon_mean,schiff_paper_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,,,0,False
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,schiff_paper_horizon_mean,schiff_paper_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,3.481972764174204,2.3366143600404543,48,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,schiff_paper_horizon_mean,schiff_paper_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,2.033293734597686,1.8274892586240519,24,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,2.651818539785213,0.2854128630505752,218,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,4.371776369510406,1.0360003432490212,202,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,5.716914213748447,1.7335329894313358,186,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,4.0994753281430905,-4.096853560027209,96,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,5.122051772999256,1.7545383424125724,96,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,4.206617985893764,1.114699754292268,114,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,2.0237292632624575,0.4379492437016447,58,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,4.2169825160991445,3.2717224223342445,42,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,7.447797018329782,7.447797018329782,26,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,,,0,False
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,6.0703304118859345,4.653926634403547,48,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,3.5857289049779335,2.8477481967256373,24,True
